tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
797545162159308800,15638,5377,7438057,10,Twitter for iPhone,Original tweet,https://t.co/Ia19irLwyB
796904159865868288,0,9852,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
796865951799083009,8285,2108,7438057,10,Twitter for iPhone,Original tweet,https://t.co/Jgnuiyvq06
796759840936919040,12798,3385,7438057,10,Twitter for iPhone,Original tweet,https://t.co/6hx7ur6sNI
796563435802726400,0,8089,7438717,10,Twitter for iPhone,This is a retweet,This is a retweet
796484825502875648,8175,1950,7438057,10,Twitter for iPhone,Original tweet,https://t.co/bvkkqOjNDV
796387464403357696,11874,4613,7438057,10,Twitter for iPhone,Original tweet,https://t.co/CE3SrCv6L3
796125600683540480,5324,1977,7438057,10,Twitter for iPhone,Original tweet,https://t.co/a18mzkhTf6
796116448414461957,9797,2682,7438057,10,Twitter for iPhone,Original tweet,https://t.co/7i0bDMbrVN
796080075804475393,9120,2571,7438057,10,Twitter for iPhone,Original tweet,https://t.co/opoXKxmfFm
796031486298386433,11650,4083,7438057,10,Twitter for iPhone,Original tweet,https://t.co/PbgvuD0qIL
795464331001561088,53746,26389,7438057,10,Twitter for iPhone,Original tweet,https://t.co/gBUDjdEcqz
